;PalindromRekursiv;PalindromIterativ
Kuh;983700;16800
Boub;14200;1600
Akba;4800;900
Annl;2900;800
Artz;4600;700
Dipkd;3300;900
Klzak;1400;800
arabekkk;900;800
irgendwas;800;700
Lekakkheke;800;800
KKKKKKKKKKlK;1000;900
keinPalindrom;5200;900
Dasist kein Palindrom Satz;900;900
AAAAAAAAAAAAAAAAAAKKKKKKKKKK;800;900
